trade_id,strategy,symbol,side,entry_time,exit_time,entry_price,exit_price,notional,pnl_usd,pnl_pct,outcome,hold_minutes,split,fees_usd
1,pf0-short,SUIUSDT,short,2024-12-09T19:00:00Z,2024-12-09T20:27:00Z,4.035100,3.934222,5000.00,119.50,2.3900,tp,87,disc,5.50
2,pf0-short,SUIUSDT,short,2024-12-10T02:00:00Z,2024-12-10T03:12:00Z,3.686900,3.594727,5000.00,119.50,2.3900,tp,72,disc,5.50
3,pf0-short,SUIUSDT,short,2024-12-19T06:00:00Z,2024-12-19T11:15:00Z,4.374200,4.505426,5000.00,-155.50,-3.1100,stop,315,disc,5.50
4,pf0-short,SUIUSDT,short,2024-12-19T14:00:00Z,2024-12-19T16:07:00Z,4.426900,4.316228,5000.00,119.50,2.3900,tp,127,disc,5.50
5,pf0-short,SUIUSDT,short,2024-12-27T12:00:00Z,2024-12-27T14:33:00Z,4.330200,4.221945,5000.00,119.50,2.3900,tp,153,disc,5.50
6,pf0-short,SUIUSDT,short,2024-12-27T20:00:00Z,2024-12-28T01:24:00Z,4.152400,4.048590,5000.00,119.50,2.3900,tp,324,disc,5.50
7,pf0-short,SUIUSDT,short,2024-12-31T11:00:00Z,2024-12-31T23:04:00Z,4.234500,4.128637,5000.00,119.50,2.3900,tp,724,disc,5.50
8,pf0-short,SUIUSDT,short,2025-01-09T01:00:00Z,2025-01-09T06:48:00Z,4.836200,4.715295,5000.00,119.50,2.3900,tp,348,disc,5.50
9,pf0-short,SUIUSDT,short,2025-01-09T19:00:00Z,2025-01-10T01:45:00Z,4.672100,4.812263,5000.00,-155.50,-3.1100,stop,405,disc,5.50
10,pf0-short,SUIUSDT,short,2025-01-14T01:00:00Z,2025-01-14T07:48:00Z,4.661800,4.545255,5000.00,119.50,2.3900,tp,408,disc,5.50
11,pf0-short,SUIUSDT,short,2025-01-14T12:00:00Z,2025-01-14T14:38:00Z,4.552200,4.688766,5000.00,-155.50,-3.1100,stop,158,disc,5.50
12,pf0-short,SUIUSDT,short,2025-01-21T01:00:00Z,2025-01-21T10:50:00Z,4.311700,4.441051,5000.00,-155.50,-3.1100,stop,590,disc,5.50
13,pf0-short,SUIUSDT,short,2025-02-02T22:00:00Z,2025-02-02T23:08:00Z,3.278000,3.196050,5000.00,119.50,2.3900,tp,68,disc,5.50
14,pf0-short,SUIUSDT,short,2025-02-03T10:00:00Z,2025-02-03T12:57:00Z,3.192800,3.112980,5000.00,119.50,2.3900,tp,177,disc,5.50
15,pf0-short,SUIUSDT,short,2025-02-03T18:00:00Z,2025-02-03T21:53:00Z,3.587700,3.695331,5000.00,-155.50,-3.1100,stop,233,disc,5.50
16,pf0-short,SUIUSDT,short,2025-02-06T09:00:00Z,2025-02-06T12:34:00Z,3.459900,3.373403,5000.00,119.50,2.3900,tp,214,disc,5.50
17,pf0-short,SUIUSDT,short,2025-02-06T23:00:00Z,2025-02-07T01:52:00Z,3.133900,3.227917,5000.00,-155.50,-3.1100,stop,172,disc,5.50
18,pf0-short,SUIUSDT,short,2025-02-07T04:00:00Z,2025-02-07T06:28:00Z,3.186700,3.107032,5000.00,119.50,2.3900,tp,148,disc,5.50
19,pf0-short,SUIUSDT,short,2025-02-09T06:00:00Z,2025-02-09T13:48:00Z,3.091800,3.014505,5000.00,119.50,2.3900,tp,468,disc,5.50
20,pf0-short,SUIUSDT,short,2025-02-09T23:00:00Z,2025-02-10T00:17:00Z,2.993400,3.083202,5000.00,-155.50,-3.1100,stop,77,disc,5.50
21,pf0-short,SUIUSDT,short,2025-02-10T16:00:00Z,2025-02-11T01:23:00Z,3.251500,3.349045,5000.00,-155.50,-3.1100,stop,563,disc,5.50
22,pf0-short,SUIUSDT,short,2025-02-24T08:00:00Z,2025-02-24T14:08:00Z,3.254200,3.172845,5000.00,119.50,2.3900,tp,368,disc,5.50
23,pf0-short,SUIUSDT,short,2025-02-25T03:00:00Z,2025-02-25T07:01:00Z,2.825400,2.754765,5000.00,119.50,2.3900,tp,241,disc,5.50
24,pf0-short,SUIUSDT,short,2025-02-25T08:00:00Z,2025-02-25T09:23:00Z,2.782600,2.713035,5000.00,119.50,2.3900,tp,83,disc,5.50
25,pf0-short,SUIUSDT,short,2025-02-28T18:00:00Z,2025-03-01T04:21:00Z,2.817800,2.902334,5000.00,-155.50,-3.1100,stop,621,disc,5.50
